brand,models
"ASUS
178 devices",Memo Pad 7 ME572CL
"ASUS
178 devices",Memo Pad 7 ME572C
"ASUS
178 devices",Zenfone 5 A500KL (2014)
"ASUS
178 devices",Zenfone 4 A450CG (2014)
"ASUS
178 devices",Memo Pad 8 ME581CL
"ASUS
178 devices",Memo Pad 8 ME181C
"ASUS
178 devices",Memo Pad 7 ME176C
"ASUS
178 devices",Fonepad 8 FE380CG
"ASUS
178 devices",Fonepad 7 FE375CXG
"ASUS
178 devices",Fonepad 7 FE375CG
"ASUS
178 devices",Transformer Pad TF303CL
"ASUS
178 devices",Transformer Pad TF103C
"ASUS
178 devices",Fonepad 7 (2014)
"ASUS
178 devices",PadFone X
"ASUS
178 devices",PadFone S
"ASUS
178 devices",PadFone Infinity Lite
"ASUS
178 devices",PadFone E
"ASUS
178 devices",Zenfone 6 A601CG (2014)
"ASUS
178 devices",Zenfone 6 A600CG (2014)
"ASUS
178 devices",Zenfone 5 A501CG (2015)
"ASUS
178 devices",Zenfone 5 A500CG (2014)
"ASUS
178 devices",Zenfone 4 (2014)
"ASUS
178 devices",PadFone mini 4G (Intel)
"ASUS
178 devices",PadFone mini (Intel)
"ASUS
178 devices",PadFone mini
